Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,5.455700,5.652600,5.445600,5.646900,5.646900,0
2009-01-05,5.521800,5.741600,5.513300,5.709000,5.709000,0
2009-01-06,5.716300,5.795900,5.689300,5.732000,5.732000,0
2009-01-07,5.736600,5.789000,5.714800,5.738900,5.738900,0
2009-01-08,5.741700,5.789700,5.649600,5.778500,5.778500,0
2009-01-09,5.781000,5.786300,5.702900,5.759800,5.759800,0
2009-01-12,5.742200,5.760200,5.588800,5.601000,5.601000,0
2009-01-13,5.602400,5.623300,5.539000,5.569100,5.569100,0
2009-01-14,5.569200,5.622800,5.454500,5.455800,5.455800,0
2009-01-15,5.461400,5.491900,5.388900,5.422800,5.422800,0
2009-01-16,5.419300,5.534000,5.405800,5.478800,5.478800,0
2009-01-19,5.458000,5.507100,5.425200,5.463500,5.463500,0
2009-01-20,5.464800,5.491300,5.387300,5.416600,5.416600,0
2009-01-21,5.417000,5.424100,5.346200,5.357400,5.357400,0
2009-01-22,5.362800,5.437600,5.347900,5.422600,5.422600,0
2009-01-23,5.423600,5.495000,5.396400,5.492300,5.492300,0
2009-01-26,5.490200,5.619900,5.484400,5.566500,5.566500,0
2009-01-27,5.567200,5.612500,5.353400,5.544000,5.544000,0
2009-01-28,5.540900,5.677300,5.511900,5.665500,5.665500,0
2009-01-29,5.663600,5.665900,5.579500,5.595100,5.595100,0
2009-01-30,5.593600,5.603800,5.494900,5.553000,5.553000,0
2009-02-02,5.469300,5.538000,5.455000,5.482800,5.482800,0
2009-02-03,5.484200,5.551700,5.454400,5.536100,5.536100,0
2009-02-04,5.534700,5.574700,5.398000,5.537300,5.537300,0
2009-02-05,5.536300,5.572200,5.422200,5.560400,5.560400,0
2009-02-06,5.560200,5.562000,5.439300,5.560300,5.560300,0
2009-02-09,5.545200,5.643000,5.539900,5.641300,5.641300,0
2009-02-10,5.640100,5.685000,5.488900,5.504000,5.504000,0
2009-02-11,5.502600,5.516700,5.446500,5.500300,5.500300,0
2009-02-12,5.505800,5.505800,5.440000,5.456100,5.456100,0
2009-02-13,5.461000,5.545400,5.409400,5.535900,5.535900,0
2009-02-16,5.526300,5.549500,5.454700,5.470000,5.470000,0
2009-02-17,5.470800,5.507300,5.375700,5.385800,5.385800,0
2009-02-18,5.385800,5.437500,5.382600,5.404500,5.404500,0
2009-02-19,5.403300,5.467000,5.401400,5.433400,5.433400,0
2009-02-20,5.434100,5.455400,5.365100,5.390300,5.390300,0
2009-02-23,5.402600,5.514400,5.362800,5.482700,5.482700,0
2009-02-24,5.479900,5.498700,5.437100,5.444600,5.444600,0
2009-02-25,5.444900,5.498300,5.412000,5.440900,5.440900,0
2009-02-26,5.440900,5.501500,5.426000,5.463700,5.463700,0
2009-02-27,5.459300,5.468500,5.346800,5.347100,5.347100,0
2009-03-02,5.363400,5.391500,5.280300,5.296200,5.296200,0
2009-03-03,5.297500,5.329300,5.257500,5.279900,5.279900,0
2009-03-04,5.278700,5.347600,5.270100,5.335700,5.335700,0
2009-03-05,5.337100,5.349900,5.208500,5.303200,5.303200,0
2009-03-06,5.305200,5.341600,5.286500,5.308900,5.308900,0
2009-03-09,5.307200,5.322700,5.226300,5.260300,5.260300,0
2009-03-10,5.259700,5.363700,5.246500,5.341800,5.341800,0
2009-03-11,5.341600,5.355800,5.270300,5.272800,5.272800,0
2009-03-12,5.271200,5.325300,5.256900,5.298800,5.298800,0
2009-03-13,5.299400,5.399500,5.291700,5.345100,5.345100,0
2009-03-16,5.229700,5.398700,5.214400,5.385300,5.385300,0
2009-03-17,5.388200,5.390200,5.344800,5.360600,5.360600,0
2009-03-18,5.360600,5.404300,5.314000,5.324300,5.324300,0
2009-03-19,5.321100,5.575200,5.321100,5.506000,5.506000,0
2009-03-20,5.505600,5.538600,5.480200,5.484300,5.484300,0
2009-03-23,5.480400,5.562800,5.472600,5.559200,5.559200,0
2009-03-24,5.560200,5.594000,5.547900,5.583200,5.583200,0
2009-03-25,5.583900,5.583900,5.503500,5.526700,5.526700,0
2009-03-26,5.525200,5.566800,5.510600,5.547400,5.547400,0
2009-03-27,5.548800,5.554500,5.479000,5.493900,5.493900,0
2009-03-30,5.507600,5.509600,5.382000,5.391000,5.391000,0
2009-03-31,5.391100,5.452700,5.379700,5.409200,5.409200,0
2009-04-01,5.409200,5.415100,5.366200,5.412000,5.412000,0
2009-04-02,5.410300,5.509100,5.400200,5.504800,5.504800,0
2009-04-03,5.505000,5.541500,5.476600,5.534400,5.534400,0
2009-04-06,5.523800,5.574600,5.475300,5.485200,5.485200,0
2009-04-07,5.487900,5.530700,5.464200,5.517100,5.517100,0
2009-04-08,5.518100,5.540900,5.477000,5.527100,5.527100,0
2009-04-09,5.526400,5.582300,5.515400,5.563100,5.563100,0
2009-04-10,5.564200,5.583600,5.538000,5.538000,5.538000,0
2009-04-13,5.547300,5.561400,5.481800,5.491500,5.491500,0
2009-04-14,5.491200,5.643100,5.491200,5.617900,5.617900,0
2009-04-15,5.617600,5.663200,5.596900,5.641800,5.641800,0
2009-04-16,5.643200,5.685100,5.566200,5.646900,5.646900,0
